2025-06-03T11:29:24.301 | INFO  | main_thread     | GlobalModule::onPreInit | log path: C:/Users/asus/AppData/Local/MuseScore/MuseScore4/logs/MuseScore_250603_112924.log
2025-06-03T11:29:24.301 | INFO  | main_thread     | GlobalModule::onPreInit | === Started MuseScore 4.3.1, build number 241490900 ===
2025-06-03T11:29:24.380 | INFO  | main_thread     | DiagnosticsModule::onInit | success start crash handler
2025-06-03T11:29:24.581 | ERROR | main_thread     | MuseSamplerLibHandler::MuseSamplerLibHandler | Unable to open MuseSampler library, path: C:/Users/asus/AppData/Local\MuseSampler\lib\MuseSamplerCoreLib.dll
2025-06-03T11:29:24.590 | ERROR | main_thread     | MuseSamplerResolver::doInit | Incompatible MuseSampler library; ignoring
2025-06-03T11:29:24.592 | ERROR | main_thread     | MuseSamplerLibHandler::MuseSamplerLibHandler | Unable to open MuseSampler library, path: MuseSamplerCoreLib.dll
2025-06-03T11:29:24.592 | ERROR | main_thread     | MuseSamplerResolver::doInit | Incompatible MuseSampler library; ignoring
2025-06-03T11:29:24.982 | INFO  | main_thread     | ConverterController::fileConvert | in: C:/Users/asus/Documents/GitHub/AI-autosheet/output/Cicak_-_Cicak_Di_Dinding_Pianika_NotAngka/Cicak_-_Cicak_Di_Dinding_Pianika_NotAngka.musicxml, out: C:/Users/asus/Documents/GitHub/AI-autosheet/output/Cicak_-_Cicak_Di_Dinding_Pianika_NotAngka/Cicak_-_Cicak_Di_Dinding_Pianika_NotAngka.png
2025-06-03T11:29:25.744 | INFO  | main_thread     | Profiler        | 

Main thread. Top 150 by sum time (total count: 46)
Function                                                    Call time         Call count        Sum time          
ConverterController::fileConvert                            761.072 ms        1                 761.072 ms        
ConverterController::convertPageByPage                      621.416 ms        1                 621.416 ms        
NotationPainting::doPaint                                   547.629 ms        1                 547.629 ms        
Paint::paintScore                                           547.624 ms        1                 547.624 ms        
Paint::paintItems                                           547.408 ms        1                 547.408 ms        
Paint::paintItem                                            6.516 ms          84                547.364 ms        
SoundFontRepository::loadSoundFonts                         166.021 ms        1                 166.021 ms        
NotationProject::load                                       134.952 ms        1                 134.952 ms        
NotationProject::doImport                                   134.483 ms        1                 134.483 ms        
InstrumentsRepository::load                                 60.906 ms         1                 60.906 ms         
EngravingProject::doSetupMasterScore                        4.192 ms          1                 4.192 ms          
Score::update                                               4.129 ms          1                 4.129 ms          
Score::doLayoutRange                                        4.110 ms          1                 4.110 ms          
ScoreLayout::layoutRange                                    4.085 ms          1                 4.085 ms          
ScorePageViewLayout::layoutPageView                         4.081 ms          1                 4.081 ms          
SystemLayout::collectSystem                                 0.975 ms          4                 3.900 ms          
MasterNotation::setMasterScore                              3.688 ms          1                 3.688 ms          
MasterNotation::initAfterSettingScore                       3.671 ms          1                 3.671 ms          
PlaybackModel::load                                         3.565 ms          1                 3.565 ms          
PageLayout::collectPage                                     3.483 ms          1                 3.483 ms          
PlaybackModel::updateEvents                                 3.452 ms          1                 3.452 ms          
InstrumentsRepository::loadStringTuningsPresets             1.328 ms          1                 1.328 ms          
MeasureLayout::getNextMeasure                               0.119 ms          11                1.312 ms          
SymNames::loadNameToSymIdHash                               0.837 ms          1                 0.837 ms          
NotationActionController::init                              0.657 ms          1                 0.657 ms          
NotationProject::setupProject                               0.443 ms          1                 0.443 ms          
ChordLayout::layoutChords1                                  0.013 ms          29                0.375 ms          
SystemLayout::layout2                                       0.090 ms          3                 0.269 ms          
UiConfiguration::readThemes                                 0.128 ms          1                 0.128 ms          
RegisterAudioPluginsScenario::init                          0.112 ms          1                 0.112 ms          
KnownAudioPluginsRegister::load                             0.101 ms          1                 0.101 ms          
MasterNotation::initExcerptNotations                        0.084 ms          1                 0.084 ms          
MasterNotation::doSetExcerpts                               0.082 ms          1                 0.082 ms          
MasterNotation::updatePotentialExcerpts                     0.077 ms          1                 0.077 ms          
PlaybackController::updateMuteStates                        0.039 ms          1                 0.039 ms          
UiActionsRegister::updateChecked                            0.005 ms          6                 0.029 ms          
PageLayout::layoutPage                                      0.015 ms          1                 0.015 ms          
Score::setUpTempoMap                                        0.013 ms          1                 0.013 ms          
EngravingProject::checkCorrupted                            0.009 ms          1                 0.009 ms          
RepeatList::unwind                                          0.007 ms          1                 0.007 ms          
InstrumentsRepository::loadMuseInstruments                  0.007 ms          1                 0.007 ms          
Score::sanityCheckLocal                                     0.006 ms          1                 0.006 ms          
engraving::markInstrumentsAsPrimary                         0.004 ms          1                 0.004 ms          
SystemLayout::restoreLayout2                                0.001 ms          3                 0.003 ms          
SystemLayout::minDistance                                   0.001 ms          4                 0.003 ms          
NotationPainting::paintPageSheet                            0.000 ms          1                 0.000 ms          


Other threads. Top 150 by sum time (total count: 1)
Function                                                    Call time         Call count        Sum time          
SynthResolver::resolveAvailableResources                    0.741 ms          1                 0.741 ms          



2025-06-03T11:29:25.744 | INFO  | main_thread     | App::run        | activeThreadCount: 0
2025-06-03T11:29:25.761 | INFO  | main_thread     | main            | Goodbye!! code: 0
