2025-06-03T11:30:39.243 | INFO  | main_thread     | GlobalModule::onPreInit | log path: C:/Users/asus/AppData/Local/MuseScore/MuseScore4/logs/MuseScore_250603_113039.log
2025-06-03T11:30:39.243 | INFO  | main_thread     | GlobalModule::onPreInit | === Started MuseScore 4.3.1, build number 241490900 ===
2025-06-03T11:30:39.319 | INFO  | main_thread     | DiagnosticsModule::onInit | success start crash handler
2025-06-03T11:30:39.538 | ERROR | main_thread     | MuseSamplerLibHandler::MuseSamplerLibHandler | Unable to open MuseSampler library, path: C:/Users/asus/AppData/Local\MuseSampler\lib\MuseSamplerCoreLib.dll
2025-06-03T11:30:39.539 | ERROR | main_thread     | MuseSamplerResolver::doInit | Incompatible MuseSampler library; ignoring
2025-06-03T11:30:39.542 | ERROR | main_thread     | MuseSamplerLibHandler::MuseSamplerLibHandler | Unable to open MuseSampler library, path: MuseSamplerCoreLib.dll
2025-06-03T11:30:39.542 | ERROR | main_thread     | MuseSamplerResolver::doInit | Incompatible MuseSampler library; ignoring
2025-06-03T11:30:39.961 | INFO  | main_thread     | ConverterController::fileConvert | in: C:/Users/asus/AppData/Local/Temp/music21/tmpra8lqzz2.musicxml, out: C:/Users/asus/AppData/Local/Temp/music21/tmpra8lqzz2.png
2025-06-03T11:30:40.709 | INFO  | main_thread     | Profiler        | 

Main thread. Top 150 by sum time (total count: 46)
Function                                                    Call time         Call count        Sum time          
ConverterController::fileConvert                            748.149 ms        1                 748.149 ms        
ConverterController::convertPageByPage                      628.723 ms        1                 628.723 ms        
NotationPainting::doPaint                                   564.245 ms        1                 564.245 ms        
Paint::paintScore                                           564.239 ms        1                 564.239 ms        
Paint::paintItems                                           564.021 ms        1                 564.021 ms        
Paint::paintItem                                            6.714 ms          84                563.978 ms        
SoundFontRepository::loadSoundFonts                         178.248 ms        1                 178.248 ms        
NotationProject::load                                       116.303 ms        1                 116.303 ms        
NotationProject::doImport                                   115.813 ms        1                 115.813 ms        
InstrumentsRepository::load                                 61.895 ms         1                 61.895 ms         
MasterNotation::setMasterScore                              3.872 ms          1                 3.872 ms          
MasterNotation::initAfterSettingScore                       3.855 ms          1                 3.855 ms          
PlaybackModel::load                                         3.739 ms          1                 3.739 ms          
PlaybackModel::updateEvents                                 3.621 ms          1                 3.621 ms          
EngravingProject::doSetupMasterScore                        3.435 ms          1                 3.435 ms          
Score::update                                               3.375 ms          1                 3.375 ms          
Score::doLayoutRange                                        3.355 ms          1                 3.355 ms          
ScoreLayout::layoutRange                                    3.332 ms          1                 3.332 ms          
ScorePageViewLayout::layoutPageView                         3.328 ms          1                 3.328 ms          
SystemLayout::collectSystem                                 0.788 ms          4                 3.153 ms          
PageLayout::collectPage                                     2.980 ms          1                 2.980 ms          
InstrumentsRepository::loadStringTuningsPresets             1.160 ms          1                 1.160 ms          
MeasureLayout::getNextMeasure                               0.095 ms          11                1.048 ms          
SymNames::loadNameToSymIdHash                               0.810 ms          1                 0.810 ms          
NotationActionController::init                              0.580 ms          1                 0.580 ms          
NotationProject::setupProject                               0.466 ms          1                 0.466 ms          
ChordLayout::layoutChords1                                  0.011 ms          29                0.306 ms          
UiConfiguration::readThemes                                 0.127 ms          1                 0.127 ms          
RegisterAudioPluginsScenario::init                          0.095 ms          1                 0.095 ms          
KnownAudioPluginsRegister::load                             0.087 ms          1                 0.087 ms          
MasterNotation::initExcerptNotations                        0.087 ms          1                 0.087 ms          
MasterNotation::doSetExcerpts                               0.083 ms          1                 0.083 ms          
MasterNotation::updatePotentialExcerpts                     0.076 ms          1                 0.076 ms          
UiActionsRegister::updateChecked                            0.005 ms          6                 0.030 ms          
SystemLayout::layout2                                       0.009 ms          3                 0.026 ms          
PageLayout::layoutPage                                      0.014 ms          1                 0.014 ms          
Score::setUpTempoMap                                        0.014 ms          1                 0.014 ms          
PlaybackController::updateMuteStates                        0.012 ms          1                 0.012 ms          
EngravingProject::checkCorrupted                            0.009 ms          1                 0.009 ms          
RepeatList::unwind                                          0.008 ms          1                 0.008 ms          
InstrumentsRepository::loadMuseInstruments                  0.007 ms          1                 0.007 ms          
Score::sanityCheckLocal                                     0.006 ms          1                 0.006 ms          
engraving::markInstrumentsAsPrimary                         0.005 ms          1                 0.005 ms          
SystemLayout::restoreLayout2                                0.001 ms          3                 0.003 ms          
SystemLayout::minDistance                                   0.001 ms          4                 0.003 ms          
NotationPainting::paintPageSheet                            0.000 ms          1                 0.000 ms          


Other threads. Top 150 by sum time (total count: 1)
Function                                                    Call time         Call count        Sum time          
SynthResolver::resolveAvailableResources                    0.982 ms          1                 0.982 ms          



2025-06-03T11:30:40.709 | INFO  | main_thread     | App::run        | activeThreadCount: 0
2025-06-03T11:30:40.718 | INFO  | main_thread     | main            | Goodbye!! code: 0
